ISO 3;Libelle;gafi;BLACK LIST ;gris;OCDE
ZAF;AFRIQUE DU SUD;NO;NO;NO;NO
ALB;ALBANIE;NO;NO;NO;NO
DEU;ALLEMAGNE;NO;NO;NO;NO
AND;ANDORRE;NO;NO;YES;YES
AIA;ANGUILLA;NO;NO;YES;YES
ATG;ANTIGUA-ET-BARBUDA;NO;NO;YES;YES
SAU;ARABIE SAOUDITE;NO;NO;NO;NO
ARG;ARGENTINE;NO;NO;NO;NO
ABW;ARUBA;NO;NO;NO;YES
AUS;AUSTRALIE;NO;NO;NO;NO
AUT;AUTRICHE;NO;NO;NO;NO
AZE;AZERBAÏDJAN;NO;NO;NO;NO
BHS;BAHAMAS;NO;NO;YES;YES
BHR;BAHREÏN;NO;YES;YES;YES
BRB;BARBADE;NO;YES;YES;NO
BEL;BELGIQUE;NO;NO;NO;NO
BLZ;BELIZE;NO;NO;YES;YES
BMU;BERMUDES;NO;NO;YES;YES
BRA;BRÉSIL;NO;NO;NO;NO
BGR;BULGARIE;NO;NO;NO;NO
CYM;CAÏMANS, ÎLES;NO;NO;YES;YES
CAN;CANADA;NO;NO;NO;NO
CHL;CHILI;NO;NO;NO;NO
CHN;CHINE;NO;NO;NO;NO
CYP;CHYPRE;NO;NO;NO;YES
COL;COLOMBIE;NO;NO;NO;NO
COK;COOK, ÎLES;NO;NO;YES;YES
KOR;CORÉE, RÉPUBLIQUE DE;NO;YES;YES;NO
CRI;COSTA RICA;NO;NO;NO;NO
HRV;CROATIE;NO;NO;NO;NO
CUW;CURAÇAO;NO;NO;NO;NO
DNK;DANEMARK;NO;NO;NO;NO
SLV;EL SALVADOR;NO;NO;NO;NO
ARE;ÉMIRATS ARABES UNIS;NO;YES;YES;NO
ECU;ÉQUATEUR;NO;NO;NO;NO
ERI;ÉRYTHRÉE;NO;NO;NO;NO
ESP;ESPAGNE;NO;NO;NO;NO
EST;ESTONIE;NO;NO;NO;NO
USA;ÉTATS-UNIS;NO;NO;NO;NO
ETH;ÉTHIOPIE;NO;NO;NO;NO
FLK;FALKLAND, ÎLES (MALVINAS);NO;NO;NO;NO
FRO;FÉROÉ, ÎLES;NO;NO;NO;NO
FJI;FIDJI;NO;NO;NO;NO
FIN;FINLANDE;NO;NO;NO;NO
FRA;FRANCE;NO;NO;NO;NO
GAB;GABON;NO;NO;NO;NO
GMB;GAMBIE;NO;NO;NO;NO
GEO;GÉORGIE;NO;NO;NO;NO
SGS;GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD;NO;NO;NO;NO
GHA;GHANA;NO;NO;NO;NO
GIB;GIBRALTAR;NO;NO;NO;YES
GRC;GRÈCE;NO;NO;NO;NO
GRD;GRENADE;NO;YES;YES;YES
GRL;GROENLAND;NO;NO;NO;NO
GLP;GUADELOUPE;NO;NO;NO;NO
GUM;GUAM;NO;YES;YES;NO
GTM;GUATEMALA;NO;NO;NO;NO
GGY;GUERNESEY;NO;NO;YES;YES
GIN;GUINÉE;NO;NO;NO;NO
GNB;GUINÉE-BISSAU;NO;NO;NO;NO
GNQ;GUINÉE ÉQUATORIALE;NO;NO;NO;NO
GUY;GUYANA;NO;NO;NO;NO
GUF;GUYANE FRANÇAISE;NO;NO;NO;NO
HTI;HAÏTI;NO;NO;NO;NO
HMD;HEARD ET MACDONALD, ÎLES;NO;NO;NO;NO
HND;HONDURAS;NO;NO;NO;NO
HKG;HONG KONG;NO;NO;YES;NO
HUN;HONGRIE;NO;NO;NO;NO
IMN;ÎLE DE MAN;NO;NO;NO;YES
UMI;ÎLES MINEURES ÉLOIGNÉES DES ÉTATS-UNIS;NO;NO;NO;NO
VGB;ÎLES VIERGES BRITANNIQUES;NO;NO;YES;YES
VIR;ÎLES VIERGES DES ÉTATS-UNIS;NO;NO;YES;YES
IND;INDE;NO;NO;NO;NO
IDN;INDONÉSIE;NO;NO;NO;NO
IRN;IRAN, RÉPUBLIQUE ISLAMIQUE D';YES;NO;NO;NO
IRQ;IRAQ;YES;NO;NO;NO
IRL;IRLANDE;NO;NO;NO;NO
ISL;ISLANDE;NO;NO;NO;NO
ISR;ISRAËL;NO;NO;NO;NO
ITA;ITALIE;NO;NO;NO;NO
JAM;JAMAÏQUE;NO;NO;NO;NO
JPN;JAPON;NO;NO;NO;NO
JEY;JERSEY;NO;NO;NO;NO
JOR;JORDANIE;NO;NO;NO;NO
KAZ;KAZAKHSTAN;NO;NO;NO;NO
KEN;KENYA;NO;NO;NO;NO
KGZ;KIRGHIZISTAN;NO;NO;NO;NO
KIR;KIRIBATI;NO;NO;NO;NO
KWT;KOWEÏT;NO;NO;NO;NO
LAO;LAO, RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE;YES;NO;NO;NO
